category,domain_name,file_name,file_urls,files,meaning,word
n.m.,uchicago_S_Hassan,abad.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00001.mp3,,"eternity, time without end",abad
adj.,uchicago_S_Hassan,abadī.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00002.mp3,,"forever, endless, everlasting, eternally, perpetually, evermore, unceasingly",abadī
n.m.,uchicago_S_Hassan,abal.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00003.mp3,,"weak person, have no strength",abal
n.,uchicago_S_Hassan,abalvōn.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00004.mp3,,"inception of disease, beginning, commencement, initiation, the beginning of something",abalvōn
n.m.,uchicago_S_Hassan,abas.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00005.mp3,,"vanity, absurdity, trifling",abas
n.m.,uchicago_S_Hassan,abdāl.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00006.mp3,,"saint, devotee, religious person",abdāl
adj.,uchicago_S_Hassan,ablι.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00007.mp3,,"idiot, stupid, foolish",ablι
n.m.,uchicago_S_Hassan,abrār.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00008.mp3,,holy men,abrār
n.m.,uchicago_S_Hassan,abrī.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00009.mp3,,a kind of colourful paper for wrapping which is used in binding books,abrī
adj.,uchicago_S_Hassan,abtar.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00010.mp3,,"spoiled, miserable, be thrown in disorder, ruined, destitute",abtar
adj.,uchicago_S_Hassan,abuz.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00011.mp3,,"not roasted, unprocessed as before a fire or an oven",abuz
n.m.,uchicago_S_Hassan,abyās.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00012.mp3,,"practice, diligent practice, application, a habitual practice",abyās
n.,uchicago_S_Hassan,abə̄sι.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00013.mp3,,"a name of a kind of flowering plant, light red colour resembling to colour of a kind of flowering plant",abə̄sι
adv.,uchicago_S_Hassan,acānak.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00014.mp3,,"chance, unknowing, sudden, hasty, unexpected, abrupt",acānak
n.m.,uchicago_S_Hassan,ackan.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00015.mp3,,"tight long coat with full buttons in front, achkan",ackan
n.m.,uchicago_S_Hassan,acōv.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00016.mp3,,the calf of a cow who has not given milk,acōv
interj.,uchicago_S_Hassan,acʰā.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00017.mp3,,"& adj. good, excellent, sound pleasing, agreeable, virtuous, correct, genuine",acʰā
adj.,uchicago_S_Hassan,ǝcʰidə̄r.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00018.mp3,,"pretty girl, dear daughter",ǝcʰidə̄r
n.m.,uchicago_S_Hassan,ǝcʰipōš.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00019.mp3,,"a kind of white coloured flower, a certain plant growing in barren soil",ǝcʰipōš
n.m.,uchicago_S_Hassan,acʰival.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00020.mp3,,proper name of tourist place in Kashmir,acʰival
adj.,uchicago_S_Hassan,acʰōw.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00021.mp3,,"half-done, uncooked, partially cooked",acʰōw
v.,uchicago_S_Hassan,adā karun.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00022.mp3,,"be paid, be done, be performed, be expressed",adā karun
adj.,uchicago_S_Hassan,adā.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00023.mp3,,"elegance, graceful, manners, coquetry",adā
n.m.,uchicago_S_Hassan,adā.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00024.mp3,,"payment, execution, performance, accomplishment",adā
adv.,uchicago_S_Hassan,adιbιsān.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00025.mp3,,"respectfully, politely, civilly, considerately",adιbιsān
n.m.,uchicago_S_Hassan,adab.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00026.mp3,,"good manners, courteousness, politeness, manners, courtesy, etiquette, civility",adab
n.m.,uchicago_S_Hassan,adākār.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00027.mp3,,"one who acts in a play, actor",adākār
n.f.,uchicago_S_Hassan,adākə̄rī.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00028.mp3,,the art of acting,adākə̄rī
n.m.,uchicago_S_Hassan,adālat.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00029.mp3,,court of justice,adālat
n.m.,uchicago_S_Hassan,adal.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00030.mp3,,"alteration, exchange, vice versa",adal
adv.,uchicago_S_Hassan,adalι badal.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00031.mp3,,"instead, as an alternative, as a substitute, in its place",adalι badal
n.m.,uchicago_S_Hassan,adārι.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00032.mp3,,"institution, organization, department, administration, establishment",adārι
adj.,uchicago_S_Hassan,adnā.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00033.mp3,,base-born mean,adnā
